Model,Filename,Ground_Truth,Prediction,Match,Time_s,Memory_MB
Bandit,"CWE-117,532_Test.py",CWE-117,CWE-605,X,0.65,CLI
Bandit,CWE-285_test.py,CWE-285,None,X,0.38,CLI
Bandit,CWE-287_test.py,CWE-287,None,X,0.37,CLI
Bandit,CWE-338_CWE-343test.py,CWE-338/CWE-343,CWE-330,X,0.38,CLI
Bandit,CWE-400_test.py,CWE-400,CWE-377/CWE-78,X,0.34,CLI
Bandit,CWE-611_test.py,CWE-611,CWE-20,X,0.33,CLI
Bandit,CWE-770test.py,CWE-770,None,X,0.33,CLI
Bandit,CWE-798_test.py,CWE-798,CWE-259,X,0.36,CLI
Bandit,CWE-942_testcode.py,CWE-942,None,X,0.33,CLI
Bandit,treesiter_test.py,None,CWE-259,X,0.32,CLI
