Model,Filename,Ground_Truth,Prediction,Match,Time_s
Bandit,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-605,X,0.38
Bandit,"CWE-117,532_patch.py",None,CWE-605,X,0.33
Bandit,CWE-285_patch.py,None,None,O,0.37
Bandit,CWE-285_test.py,CWE-285,None,X,0.33
Bandit,CWE-287_patch.py,None,None,O,0.33
Bandit,CWE-287_test.py,CWE-287,None,X,0.31
Bandit,CWE-311_patch.py,None,None,O,0.33
Bandit,CWE-311_test.py,CWE-311,None,X,0.36
Bandit,CWE-338_CWE-343_patch.py,None,None,O,0.33
Bandit,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-330,X,0.35
Bandit,CWE-400_patch.py,None,CWE-78/CWE-377,X,0.36
Bandit,CWE-400_test.py,CWE-400,CWE-78/CWE-377,X,0.35
Bandit,CWE-611_patch.py,None,None,O,0.34
Bandit,CWE-611_test.py,CWE-611,CWE-20,X,0.31
Bandit,CWE-639_patch.py,None,None,O,0.33
Bandit,CWE-639_test.py,CWE-639,None,X,0.33
Bandit,CWE-770_patch.py,None,None,O,0.3
Bandit,CWE-770_test.py,CWE-770,None,X,0.33
Bandit,CWE-798_patch.py,None,None,O,0.33
Bandit,CWE-798_test.py,CWE-798,CWE-259,X,0.33
Bandit,CWE-915_patch.py,None,None,O,0.32
Bandit,CWE-915_test.py,CWE-915,None,X,0.32
Bandit,"CWE-942,798_patch.py",None,None,O,0.31
Bandit,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-259,X,0.34
Bandit,CWE-942_patch.py,None,None,O,0.33
Bandit,CWE-942_test.py,CWE-942,None,X,0.32
