Model,Filename,Ground_Truth,Prediction,Match,Time_s,Memory_MB
gemini-2.5-pro,"CWE-117,532_Test.py",CWE-117,CWE-117,O,31.44,API
gemini-2.5-pro,CWE-285_test.py,CWE-285,CWE-770,X,31.83,API
gemini-2.5-pro,CWE-287_test.py,CWE-287,CWE-285,X,23.23,API
gemini-2.5-pro,CWE-338_CWE-343test.py,CWE-338/CWE-343,CWE-338: Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),X,25.41,API
gemini-2.5-pro,CWE-400_test.py,CWE-400,CWE-400,O,27.72,API
gemini-2.5-pro,CWE-611_test.py,CWE-611,UNKNOWN,X,13.98,API
gemini-2.5-pro,CWE-770test.py,CWE-770,CWE-770: Allocation of Resources Without Limits or Throttling,X,28.73,API
gemini-2.5-pro,CWE-798_test.py,CWE-798,CWE-798,O,36.62,API
gemini-2.5-pro,CWE-942_testcode.py,CWE-942,CWE-346,X,32.72,API
gemini-2.5-pro,treesiter_test.py,None,CWE-798,X,21.6,API
