.
.0000000000Model,Filename,Ground_Truth,Prediction,Match,Time_s,Memory_MB
gemini-2.5-pro,"CWE-117,532_Test.py",CWE-117,CWE-117,O,24.44,API
gemini-2.5-pro,CWE-285_test.py,CWE-285,CWE-285,O,20.62,API
gemini-2.5-pro,CWE-287_test.py,CWE-287,CWE-285,X,17.55,API
gemini-2.5-pro,CWE-338_CWE-343test.py,CWE-338/CWE-343,CWE-338,O,21.96,API
gemini-2.5-pro,CWE-400_test.py,CWE-400,CWE-400,O,22.93,API
gemini-2.5-pro,CWE-611_test.py,CWE-611,CWE-611,O,18.92,API
gemini-2.5-pro,CWE-770test.py,CWE-770,CWE-770,O,22.11,API
gemini-2.5-pro,CWE-798_test.py,CWE-798,CWE-798,O,18.6,API
gemini-2.5-pro,CWE-942_testcode.py,CWE-942,CWE-942,O,20.71,API
gemini-2.5-pro,treesiter_test.py,None,CWE-942,X,35.48,API
