Model,Filename,Ground_Truth,Prediction,Match,Time_s
claude-sonnet-4-5_raw,"CWE-117,532_Test.py",CWE-117/CWE-532,UNKNOWN,X,15.85
claude-sonnet-4-5_raw,"CWE-117,532_patch.py",None,CWE-489,X,11.78
claude-sonnet-4-5_raw,CWE-285_patch.py,None,None,O,13.87
claude-sonnet-4-5_raw,CWE-285_test.py,CWE-285,UNKNOWN,X,13.72
claude-sonnet-4-5_raw,CWE-287_patch.py,None,None,O,13.4
claude-sonnet-4-5_raw,CWE-287_test.py,CWE-287,UNKNOWN,X,15.28
claude-sonnet-4-5_raw,CWE-311_patch.py,None,None,O,11.51
claude-sonnet-4-5_raw,CWE-311_test.py,CWE-311,UNKNOWN,X,14.3
claude-sonnet-4-5_raw,CWE-338_CWE-343_patch.py,None,None,O,13.49
claude-sonnet-4-5_raw,CWE-338_CWE-343_test.py,CWE-338/CWE-343,UNKNOWN,X,15.04
claude-sonnet-4-5_raw,CWE-400_patch.py,None,CWE-400,X,16.97
claude-sonnet-4-5_raw,CWE-400_test.py,CWE-400,UNKNOWN,X,14.23
claude-sonnet-4-5_raw,CWE-611_patch.py,None,None,O,8.13
claude-sonnet-4-5_raw,CWE-611_test.py,CWE-611,UNKNOWN,X,15.42
claude-sonnet-4-5_raw,CWE-639_patch.py,None,None,O,10.34
claude-sonnet-4-5_raw,CWE-639_test.py,CWE-639,UNKNOWN,X,13.78
claude-sonnet-4-5_raw,CWE-770_patch.py,None,None,O,8.01
claude-sonnet-4-5_raw,CWE-770_test.py,CWE-770,UNKNOWN,X,16.44
claude-sonnet-4-5_raw,CWE-798_patch.py,None,None,O,10.09
claude-sonnet-4-5_raw,CWE-798_test.py,CWE-798,UNKNOWN,X,13.52
claude-sonnet-4-5_raw,CWE-915_patch.py,None,None,O,9.26
claude-sonnet-4-5_raw,CWE-915_test.py,CWE-915,UNKNOWN,X,15.84
claude-sonnet-4-5_raw,"CWE-942,798_patch.py",None,None,O,11.37
claude-sonnet-4-5_raw,"CWE-942,798_test.py",CWE-942/CWE-798,UNKNOWN,X,18.0
claude-sonnet-4-5_raw,CWE-942_patch.py,None,None,O,9.42
claude-sonnet-4-5_raw,CWE-942_test.py,CWE-942,UNKNOWN,X,16.85
