Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,33.45
gemini-2.5-pro_rag,"CWE-117,532_patch.py",None,None,O,17.84
gemini-2.5-pro_rag,CWE-285_patch.py,None,None,O,17.99
gemini-2.5-pro_rag,CWE-285_test.py,CWE-285,CWE-285,O,26.19
gemini-2.5-pro_rag,CWE-287_patch.py,None,None,O,49.44
gemini-2.5-pro_rag,CWE-287_test.py,CWE-287,CWE-287,O,31.14
gemini-2.5-pro_rag,CWE-311_patch.py,None,None,O,17.16
gemini-2.5-pro_rag,CWE-311_test.py,CWE-311,CWE-285,X,42.02
gemini-2.5-pro_rag,CWE-338_CWE-343_patch.py,None,None,O,14.69
gemini-2.5-pro_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,28.13
gemini-2.5-pro_rag,CWE-400_patch.py,None,CWE-400,X,29.08
gemini-2.5-pro_rag,CWE-400_test.py,CWE-400,CWE-770,X,30.23
gemini-2.5-pro_rag,CWE-611_patch.py,None,CWE-770,X,42.25
gemini-2.5-pro_rag,CWE-611_test.py,CWE-611,CWE-611,O,20.73
gemini-2.5-pro_rag,CWE-639_patch.py,None,None,O,19.41
gemini-2.5-pro_rag,CWE-639_test.py,CWE-639,CWE-285,X,39.85
gemini-2.5-pro_rag,CWE-770_patch.py,None,None,O,14.59
gemini-2.5-pro_rag,CWE-770_test.py,CWE-770,CWE-400,X,25.32
gemini-2.5-pro_rag,CWE-798_patch.py,None,None,O,17.95
gemini-2.5-pro_rag,CWE-798_test.py,CWE-798,CWE-798,O,17.72
gemini-2.5-pro_rag,CWE-915_patch.py,None,None,O,21.05
gemini-2.5-pro_rag,CWE-915_test.py,CWE-915,CWE-285,X,28.36
gemini-2.5-pro_rag,"CWE-942,798_patch.py",None,CWE-285,X,19.19
gemini-2.5-pro_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-285,X,60.02
gemini-2.5-pro_rag,CWE-942_patch.py,None,None,O,14.49
gemini-2.5-pro_rag,CWE-942_test.py,CWE-942,CWE-942,O,24.69
