Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,34.23
gemini-2.5-pro_rag,"CWE-117,532_patch.py",None,None,O,17.41
gemini-2.5-pro_rag,CWE-285_patch.py,None,None,O,21.4
gemini-2.5-pro_rag,CWE-285_test.py,CWE-285,CWE-285,O,24.04
gemini-2.5-pro_rag,CWE-287_patch.py,None,None,O,27.39
gemini-2.5-pro_rag,CWE-287_test.py,CWE-287,CWE-287,O,22.58
gemini-2.5-pro_rag,CWE-311_patch.py,None,None,O,15.2
gemini-2.5-pro_rag,CWE-311_test.py,CWE-311,CWE-285,X,37.16
gemini-2.5-pro_rag,CWE-338_CWE-343_patch.py,None,None,O,13.14
gemini-2.5-pro_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,26.51
gemini-2.5-pro_rag,CWE-400_patch.py,None,CWE-400,X,21.98
gemini-2.5-pro_rag,CWE-400_test.py,CWE-400,CWE-770,X,32.29
gemini-2.5-pro_rag,CWE-611_patch.py,None,CWE-400,X,36.28
gemini-2.5-pro_rag,CWE-611_test.py,CWE-611,CWE-611,O,25.93
gemini-2.5-pro_rag,CWE-639_patch.py,None,None,O,18.59
gemini-2.5-pro_rag,CWE-639_test.py,CWE-639,CWE-285,X,24.6
gemini-2.5-pro_rag,CWE-770_patch.py,None,None,O,13.81
gemini-2.5-pro_rag,CWE-770_test.py,CWE-770,CWE-770,O,22.97
gemini-2.5-pro_rag,CWE-798_patch.py,None,CWE-532,X,24.95
gemini-2.5-pro_rag,CWE-798_test.py,CWE-798,CWE-798,O,23.85
gemini-2.5-pro_rag,CWE-915_patch.py,None,CWE-285,X,16.75
gemini-2.5-pro_rag,CWE-915_test.py,CWE-915,CWE-285,X,25.6
gemini-2.5-pro_rag,"CWE-942,798_patch.py",None,CWE-285,X,15.95
gemini-2.5-pro_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,59.09
gemini-2.5-pro_rag,CWE-942_patch.py,None,None,O,14.01
gemini-2.5-pro_rag,CWE-942_test.py,CWE-942,CWE-942,O,23.02
