Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_simple_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,38.36
gemini-2.5-pro_simple_rag,"CWE-117,532_patch.py",None,None,O,17.01
gemini-2.5-pro_simple_rag,CWE-285_patch.py,None,None,O,17.94
gemini-2.5-pro_simple_rag,CWE-285_test.py,CWE-285,CWE-285,O,25.41
gemini-2.5-pro_simple_rag,CWE-287_patch.py,None,CWE-287,X,42.57
gemini-2.5-pro_simple_rag,CWE-287_test.py,CWE-287,CWE-287,O,21.55
gemini-2.5-pro_simple_rag,CWE-311_patch.py,None,None,O,17.06
gemini-2.5-pro_simple_rag,CWE-311_test.py,CWE-311,CWE-311,O,26.26
gemini-2.5-pro_simple_rag,CWE-338_CWE-343_patch.py,None,None,O,13.99
gemini-2.5-pro_simple_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,21.54
gemini-2.5-pro_simple_rag,CWE-400_patch.py,None,CWE-770,X,25.96
gemini-2.5-pro_simple_rag,CWE-400_test.py,CWE-400,CWE-770,X,29.73
gemini-2.5-pro_simple_rag,CWE-611_patch.py,None,CWE-400,X,22.4
gemini-2.5-pro_simple_rag,CWE-611_test.py,CWE-611,CWE-611,O,20.78
gemini-2.5-pro_simple_rag,CWE-639_patch.py,None,None,O,14.31
gemini-2.5-pro_simple_rag,CWE-639_test.py,CWE-639,CWE-285,X,28.01
gemini-2.5-pro_simple_rag,CWE-770_patch.py,None,None,O,15.22
gemini-2.5-pro_simple_rag,CWE-770_test.py,CWE-770,CWE-400,X,24.36
gemini-2.5-pro_simple_rag,CWE-798_patch.py,None,None,O,16.99
gemini-2.5-pro_simple_rag,CWE-798_test.py,CWE-798,CWE-798,O,19.6
gemini-2.5-pro_simple_rag,CWE-915_patch.py,None,None,O,15.3
gemini-2.5-pro_simple_rag,CWE-915_test.py,CWE-915,CWE-285,X,30.95
gemini-2.5-pro_simple_rag,"CWE-942,798_patch.py",None,CWE-285,X,18.03
gemini-2.5-pro_simple_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,65.4
gemini-2.5-pro_simple_rag,CWE-942_patch.py,None,None,O,18.56
gemini-2.5-pro_simple_rag,CWE-942_test.py,CWE-942,CWE-942,O,20.2
