Model,Filename,Ground_Truth,Prediction,Match,Time_s
grok-3-mini_rag_ts,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,4.09
grok-3-mini_rag_ts,"CWE-117,532_patch.py",None,None,O,2.83
grok-3-mini_rag_ts,CWE-22_test.py,None,None,O,6.22
grok-3-mini_rag_ts,CWE-285_patch.py,None,None,O,4.51
grok-3-mini_rag_ts,CWE-285_test.py,CWE-285,CWE-285,O,3.85
grok-3-mini_rag_ts,CWE-287_patch.py,None,None,O,2.6
grok-3-mini_rag_ts,CWE-287_test.py,CWE-287,CWE-287,O,5.08
grok-3-mini_rag_ts,CWE-307_test.py,CWE-307,None,X,6.15
grok-3-mini_rag_ts,"CWE-311,362_test.py",CWE-311/CWE-362,CWE-311,O,5.68
grok-3-mini_rag_ts,CWE-311_patch.py,None,None,O,2.39
grok-3-mini_rag_ts,CWE-311_test.py,CWE-311,CWE-311,O,4.86
grok-3-mini_rag_ts,CWE-328_test.py,CWE-328,CWE-287,X,4.71
grok-3-mini_rag_ts,CWE-338_CWE-343_patch.py,None,None,O,3.73
grok-3-mini_rag_ts,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,5.39
grok-3-mini_rag_ts,CWE-400_patch.py,None,None,O,3.59
grok-3-mini_rag_ts,CWE-400_test.py,CWE-400,CWE-400,O,5.65
grok-3-mini_rag_ts,CWE-502_test.py,CWE-502,None,X,5.52
grok-3-mini_rag_ts,CWE-601_test.py,CWE-601,None,X,3.73
grok-3-mini_rag_ts,CWE-611_patch.py,None,None,O,1.99
grok-3-mini_rag_ts,CWE-611_test.py,CWE-611,CWE-611,O,3.8
grok-3-mini_rag_ts,CWE-639_patch.py,None,None,O,14.19
grok-3-mini_rag_ts,CWE-639_test.py,CWE-639,CWE-285,X,4.85
grok-3-mini_rag_ts,CWE-643_test.py,CWE-643,CWE-611,X,8.95
grok-3-mini_rag_ts,CWE-674_test.py,CWE-674,None,X,3.97
grok-3-mini_rag_ts,CWE-770_patch.py,None,None,O,2.68
grok-3-mini_rag_ts,CWE-770_test.py,CWE-770,CWE-400,X,4.81
grok-3-mini_rag_ts,CWE-798_patch.py,None,None,O,2.53
grok-3-mini_rag_ts,CWE-798_test.py,CWE-798,CWE-798,O,4.4
grok-3-mini_rag_ts,CWE-79_test.py,None,None,O,3.38
grok-3-mini_rag_ts,CWE-79_test2.py,None,None,O,2.37
grok-3-mini_rag_ts,CWE-862_test.py,CWE-862,CWE-285,X,3.73
grok-3-mini_rag_ts,CWE-90_test.py,None,None,O,4.79
grok-3-mini_rag_ts,CWE-915_patch.py,None,None,O,3.8
grok-3-mini_rag_ts,CWE-915_test.py,CWE-915,CWE-285,X,4.07
grok-3-mini_rag_ts,CWE-918_test.py,CWE-918,None,X,3.71
grok-3-mini_rag_ts,"CWE-942,798_patch.py",None,None,O,3.96
grok-3-mini_rag_ts,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,7.3
grok-3-mini_rag_ts,CWE-942_patch.py,None,None,O,2.8
grok-3-mini_rag_ts,CWE-942_test.py,CWE-942,CWE-942,O,3.04
grok-3-mini_rag_ts,CWE-94_test.py,None,None,O,2.64
