Model,Filename,Ground_Truth,Prediction,Match,Time_s
grok-3-mini_raw,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,10.83
grok-3-mini_raw,"CWE-117,532_patch.py",None,None,O,3.65
grok-3-mini_raw,CWE-285_patch.py,None,None,O,3.82
grok-3-mini_raw,CWE-285_test.py,CWE-285,CWE-862,X,6.02
grok-3-mini_raw,CWE-287_patch.py,None,None,O,3.18
grok-3-mini_raw,CWE-287_test.py,CWE-287,CWE-287,O,6.7
grok-3-mini_raw,CWE-311_patch.py,None,None,O,4.12
grok-3-mini_raw,CWE-311_test.py,CWE-311,CWE-312,X,4.7
grok-3-mini_raw,CWE-338_CWE-343_patch.py,None,None,O,2.62
grok-3-mini_raw,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-337,X,4.39
grok-3-mini_raw,CWE-400_patch.py,None,None,O,5.1
grok-3-mini_raw,CWE-400_test.py,CWE-400,None,X,5.82
grok-3-mini_raw,CWE-611_patch.py,None,None,O,3.31
grok-3-mini_raw,CWE-611_test.py,CWE-611,CWE-611,O,6.81
grok-3-mini_raw,CWE-639_patch.py,None,None,O,3.31
grok-3-mini_raw,CWE-639_test.py,CWE-639,CWE-862,X,6.18
grok-3-mini_raw,CWE-770_patch.py,None,None,O,3.43
grok-3-mini_raw,CWE-770_test.py,CWE-770,CWE-770,O,4.55
grok-3-mini_raw,CWE-798_patch.py,None,None,O,3.15
grok-3-mini_raw,CWE-798_test.py,CWE-798,CWE-798,O,5.16
grok-3-mini_raw,CWE-915_patch.py,None,None,O,3.81
grok-3-mini_raw,CWE-915_test.py,CWE-915,CWE-915,O,4.46
grok-3-mini_raw,"CWE-942,798_patch.py",None,None,O,4.45
grok-3-mini_raw,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-259,X,6.02
grok-3-mini_raw,CWE-942_patch.py,None,None,O,4.04
grok-3-mini_raw,CWE-942_test.py,CWE-942,CWE-942,O,5.18
