Model,Filename,Ground_Truth,Prediction,Match,Time_s
grok-3-mini_simple_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,5.0
grok-3-mini_simple_rag,"CWE-117,532_patch.py",None,None,O,1.94
grok-3-mini_simple_rag,CWE-22_test.py,None,None,O,2.83
grok-3-mini_simple_rag,CWE-285_patch.py,None,None,O,2.46
grok-3-mini_simple_rag,CWE-285_test.py,CWE-285,CWE-285,O,4.47
grok-3-mini_simple_rag,CWE-287_patch.py,None,None,O,2.87
grok-3-mini_simple_rag,CWE-287_test.py,CWE-287,CWE-287,O,4.59
grok-3-mini_simple_rag,CWE-307_test.py,CWE-307,CWE-770,X,4.5
grok-3-mini_simple_rag,"CWE-311,362_test.py",CWE-311/CWE-362,CWE-311,O,6.37
grok-3-mini_simple_rag,CWE-311_patch.py,None,None,O,3.92
grok-3-mini_simple_rag,CWE-311_test.py,CWE-311,CWE-311,O,4.36
grok-3-mini_simple_rag,CWE-328_test.py,CWE-328,CWE-287,X,3.76
grok-3-mini_simple_rag,CWE-338_CWE-343_patch.py,None,None,O,3.58
grok-3-mini_simple_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,4.71
grok-3-mini_simple_rag,CWE-400_patch.py,None,None,O,4.32
grok-3-mini_simple_rag,CWE-400_test.py,CWE-400,CWE-770,X,3.98
grok-3-mini_simple_rag,CWE-502_test.py,CWE-502,None,X,3.75
grok-3-mini_simple_rag,CWE-601_test.py,CWE-601,None,X,3.85
grok-3-mini_simple_rag,CWE-611_patch.py,None,None,O,2.78
grok-3-mini_simple_rag,CWE-611_test.py,CWE-611,CWE-611,O,3.17
grok-3-mini_simple_rag,CWE-639_patch.py,None,None,O,2.68
grok-3-mini_simple_rag,CWE-639_test.py,CWE-639,CWE-285,X,4.67
grok-3-mini_simple_rag,CWE-643_test.py,CWE-643,CWE-611,X,5.03
grok-3-mini_simple_rag,CWE-674_test.py,CWE-674,None,X,4.39
grok-3-mini_simple_rag,CWE-770_patch.py,None,None,O,2.24
grok-3-mini_simple_rag,CWE-770_test.py,CWE-770,CWE-400,X,3.92
grok-3-mini_simple_rag,CWE-798_patch.py,None,None,O,2.28
grok-3-mini_simple_rag,CWE-798_test.py,CWE-798,CWE-798,O,4.55
grok-3-mini_simple_rag,CWE-79_test.py,None,None,O,3.78
grok-3-mini_simple_rag,CWE-79_test2.py,None,None,O,4.01
grok-3-mini_simple_rag,CWE-862_test.py,CWE-862,CWE-285,X,4.56
grok-3-mini_simple_rag,CWE-90_test.py,None,None,O,3.71
grok-3-mini_simple_rag,CWE-915_patch.py,None,None,O,3.85
grok-3-mini_simple_rag,CWE-915_test.py,CWE-915,CWE-285,X,4.04
grok-3-mini_simple_rag,CWE-918_test.py,CWE-918,None,X,7.01
grok-3-mini_simple_rag,"CWE-942,798_patch.py",None,None,O,4.92
grok-3-mini_simple_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-942,O,8.23
grok-3-mini_simple_rag,CWE-942_patch.py,None,None,O,3.43
grok-3-mini_simple_rag,CWE-942_test.py,CWE-942,CWE-942,O,4.75
grok-3-mini_simple_rag,CWE-94_test.py,None,None,O,3.96
