Model,Filename,Ground_Truth,Prediction,Match,Time_s
llama3.2_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,9.5
llama3.2_rag,"CWE-117,532_patch.py",None,UNKNOWN,X,6.7
llama3.2_rag,CWE-285_patch.py,None,None,O,4.64
llama3.2_rag,CWE-285_test.py,CWE-285,CWE-285,O,5.21
llama3.2_rag,CWE-287_patch.py,None,CWE-119,X,9.73
llama3.2_rag,CWE-287_test.py,CWE-287,CWE-117,X,5.85
llama3.2_rag,CWE-311_patch.py,None,UNKNOWN,X,6.05
llama3.2_rag,CWE-311_test.py,CWE-311,UNKNOWN,X,7.43
llama3.2_rag,CWE-338_CWE-343_patch.py,None,UNKNOWN,X,6.02
llama3.2_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,7.41
llama3.2_rag,CWE-400_patch.py,None,UNKNOWN,X,6.51
llama3.2_rag,CWE-400_test.py,CWE-400,CWE-117,X,6.43
llama3.2_rag,CWE-611_patch.py,None,UNKNOWN,X,7.63
llama3.2_rag,CWE-611_test.py,CWE-611,CWE-611,O,6.27
llama3.2_rag,CWE-639_patch.py,None,None,O,8.64
llama3.2_rag,CWE-639_test.py,CWE-639,CWE-285,X,7.68
llama3.2_rag,CWE-770_patch.py,None,UNKNOWN,X,4.68
llama3.2_rag,CWE-770_test.py,CWE-770,UNKNOWN,X,5.21
llama3.2_rag,CWE-798_patch.py,None,UNKNOWN,X,5.6
llama3.2_rag,CWE-798_test.py,CWE-798,UNKNOWN,X,25.28
llama3.2_rag,CWE-915_patch.py,None,None,O,4.85
llama3.2_rag,CWE-915_test.py,CWE-915,UNKNOWN,X,5.03
llama3.2_rag,"CWE-942,798_patch.py",None,None,O,6.73
llama3.2_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,6.54
llama3.2_rag,CWE-942_patch.py,None,UNKNOWN,X,6.75
llama3.2_rag,CWE-942_test.py,CWE-942,UNKNOWN,X,12.82
