Model,Filename,Ground_Truth,Prediction,Match,Time_s
llama3.2_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,UNKNOWN,X,14.0
llama3.2_rag,"CWE-117,532_patch.py",None,None,O,4.12
llama3.2_rag,CWE-285_patch.py,None,UNKNOWN,X,8.11
llama3.2_rag,CWE-285_test.py,CWE-285,CWE-285,O,5.56
llama3.2_rag,CWE-287_patch.py,None,UNKNOWN,X,5.63
llama3.2_rag,CWE-287_test.py,CWE-287,CWE-117,X,5.82
llama3.2_rag,CWE-311_patch.py,None,UNKNOWN,X,6.16
llama3.2_rag,CWE-311_test.py,CWE-311,UNKNOWN,X,7.68
llama3.2_rag,CWE-338_CWE-343_patch.py,None,None,O,6.93
llama3.2_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,7.23
llama3.2_rag,CWE-400_patch.py,None,None,O,5.98
llama3.2_rag,CWE-400_test.py,CWE-400,CWE-285,X,9.77
llama3.2_rag,CWE-611_patch.py,None,None,O,5.58
llama3.2_rag,CWE-611_test.py,CWE-611,CWE-311,X,6.24
llama3.2_rag,CWE-639_patch.py,None,UNKNOWN,X,7.62
llama3.2_rag,CWE-639_test.py,CWE-639,CWE-400,X,7.8
llama3.2_rag,CWE-770_patch.py,None,UNKNOWN,X,4.67
llama3.2_rag,CWE-770_test.py,CWE-770,CWE-400,X,5.08
llama3.2_rag,CWE-798_patch.py,None,UNKNOWN,X,5.63
llama3.2_rag,CWE-798_test.py,CWE-798,CWE-285,X,6.1
llama3.2_rag,CWE-915_patch.py,None,None,O,4.8
llama3.2_rag,CWE-915_test.py,CWE-915,UNKNOWN,X,9.0
llama3.2_rag,"CWE-942,798_patch.py",None,UNKNOWN,X,6.51
llama3.2_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,6.53
llama3.2_rag,CWE-942_patch.py,None,UNKNOWN,X,5.37
llama3.2_rag,CWE-942_test.py,CWE-942,CWE-798,X,5.57
