Model,Filename,Ground_Truth,Prediction,Match,Time_s
qwen2.5-coder_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,11.7
qwen2.5-coder_rag,"CWE-117,532_patch.py",None,None,O,14.43
qwen2.5-coder_rag,CWE-285_patch.py,None,CWE-285,X,23.72
qwen2.5-coder_rag,CWE-285_test.py,CWE-285,CWE-285,O,18.46
qwen2.5-coder_rag,CWE-287_patch.py,None,None,O,18.24
qwen2.5-coder_rag,CWE-287_test.py,CWE-287,CWE-117,X,18.71
qwen2.5-coder_rag,CWE-311_patch.py,None,None,O,16.93
qwen2.5-coder_rag,CWE-311_test.py,CWE-311,CWE-287,X,18.48
qwen2.5-coder_rag,CWE-338_CWE-343_patch.py,None,None,O,16.32
qwen2.5-coder_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-343,O,22.22
qwen2.5-coder_rag,CWE-400_patch.py,None,None,O,15.63
qwen2.5-coder_rag,CWE-400_test.py,CWE-400,CWE-285,X,18.52
qwen2.5-coder_rag,CWE-611_patch.py,None,None,O,18.35
qwen2.5-coder_rag,CWE-611_test.py,CWE-611,CWE-611,O,19.54
qwen2.5-coder_rag,CWE-639_patch.py,None,None,O,20.11
qwen2.5-coder_rag,CWE-639_test.py,CWE-639,CWE-285,X,22.6
qwen2.5-coder_rag,CWE-770_patch.py,None,None,O,13.51
qwen2.5-coder_rag,CWE-770_test.py,CWE-770,CWE-400,X,14.89
qwen2.5-coder_rag,CWE-798_patch.py,None,None,O,15.39
qwen2.5-coder_rag,CWE-798_test.py,CWE-798,CWE-798,O,17.83
qwen2.5-coder_rag,CWE-915_patch.py,None,None,O,13.73
qwen2.5-coder_rag,CWE-915_test.py,CWE-915,None,X,15.61
qwen2.5-coder_rag,"CWE-942,798_patch.py",None,CWE-117,X,25.33
qwen2.5-coder_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-285,X,17.57
qwen2.5-coder_rag,CWE-942_patch.py,None,None,O,16.05
qwen2.5-coder_rag,CWE-942_test.py,CWE-942,CWE-311,X,18.55
