Model,Filename,Ground_Truth,Prediction,Match,Time_s
qwen2.5-coder_simple_rag,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,17.37
qwen2.5-coder_simple_rag,"CWE-117,532_patch.py",None,None,O,26.04
qwen2.5-coder_simple_rag,CWE-285_patch.py,None,None,O,13.87
qwen2.5-coder_simple_rag,CWE-285_test.py,CWE-285,CWE-285,O,16.96
qwen2.5-coder_simple_rag,CWE-287_patch.py,None,None,O,17.48
qwen2.5-coder_simple_rag,CWE-287_test.py,CWE-287,CWE-117,X,19.65
qwen2.5-coder_simple_rag,CWE-311_patch.py,None,None,O,16.06
qwen2.5-coder_simple_rag,CWE-311_test.py,CWE-311,UNKNOWN,X,16.74
qwen2.5-coder_simple_rag,CWE-338_CWE-343_patch.py,None,None,O,17.56
qwen2.5-coder_simple_rag,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-338,O,19.1
qwen2.5-coder_simple_rag,CWE-400_patch.py,None,CWE-400,X,35.11
qwen2.5-coder_simple_rag,CWE-400_test.py,CWE-400,UNKNOWN,X,19.14
qwen2.5-coder_simple_rag,CWE-611_patch.py,None,None,O,16.21
qwen2.5-coder_simple_rag,CWE-611_test.py,CWE-611,CWE-611,O,19.35
qwen2.5-coder_simple_rag,CWE-639_patch.py,None,None,O,19.83
qwen2.5-coder_simple_rag,CWE-639_test.py,CWE-639,CWE-285,X,22.85
qwen2.5-coder_simple_rag,CWE-770_patch.py,None,None,O,13.62
qwen2.5-coder_simple_rag,CWE-770_test.py,CWE-770,CWE-400,X,16.31
qwen2.5-coder_simple_rag,CWE-798_patch.py,None,None,O,17.18
qwen2.5-coder_simple_rag,CWE-798_test.py,CWE-798,CWE-798,O,18.03
qwen2.5-coder_simple_rag,CWE-915_patch.py,None,None,O,13.46
qwen2.5-coder_simple_rag,CWE-915_test.py,CWE-915,CWE-400,X,14.11
qwen2.5-coder_simple_rag,"CWE-942,798_patch.py",None,None,O,17.05
qwen2.5-coder_simple_rag,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,16.75
qwen2.5-coder_simple_rag,CWE-942_patch.py,None,None,O,15.33
qwen2.5-coder_simple_rag,CWE-942_test.py,CWE-942,CWE-942,O,15.42
