Model,Pair,Vuln,Patch,GT,Vuln_Pred,Patch_Pred,Result
Bandit,CWE-117_CWE-532,"CWE-117,532_Test.py","CWE-117,532_patch.py",CWE-117/CWE-532,CWE-605,CWE-605,PAIR_FP
Bandit,CWE-285,CWE-285_test.py,CWE-285_patch.py,CWE-285,None,None,PAIR_FP
Bandit,CWE-287,CWE-287_test.py,CWE-287_patch.py,CWE-287,None,None,PAIR_FP
Bandit,CWE-311,CWE-311_test.py,CWE-311_patch.py,CWE-311,None,None,PAIR_FP
Bandit,CWE-338_CWE-343,CWE-338_CWE-343_test.py,CWE-338_CWE-343_patch.py,CWE-338/CWE-343,CWE-330,None,PAIR_FP
Bandit,CWE-400,CWE-400_test.py,CWE-400_patch.py,CWE-400,CWE-78/CWE-377,CWE-78/CWE-377,PAIR_FP
Bandit,CWE-611,CWE-611_test.py,CWE-611_patch.py,CWE-611,CWE-20,None,PAIR_FP
Bandit,CWE-639,CWE-639_test.py,CWE-639_patch.py,CWE-639,None,None,PAIR_FP
Bandit,CWE-770,CWE-770_test.py,CWE-770_patch.py,CWE-770,None,None,PAIR_FP
Bandit,CWE-798,CWE-798_test.py,CWE-798_patch.py,CWE-798,CWE-259,None,PAIR_FP
Bandit,CWE-915,CWE-915_test.py,CWE-915_patch.py,CWE-915,None,None,PAIR_FP
Bandit,CWE-798_CWE-942,"CWE-942,798_test.py","CWE-942,798_patch.py",CWE-942/CWE-798,CWE-259,None,PAIR_FP
Bandit,CWE-942,CWE-942_test.py,CWE-942_patch.py,CWE-942,None,None,PAIR_FP
gemini-2.5-pro_rag,CWE-117_CWE-532,"CWE-117,532_Test.py","CWE-117,532_patch.py",CWE-117/CWE-532,CWE-117,None,PAIR_TP
gemini-2.5-pro_rag,CWE-285,CWE-285_test.py,CWE-285_patch.py,CWE-285,CWE-285,None,PAIR_TP
gemini-2.5-pro_rag,CWE-287,CWE-287_test.py,CWE-287_patch.py,CWE-287,CWE-287,None,PAIR_TP
gemini-2.5-pro_rag,CWE-311,CWE-311_test.py,CWE-311_patch.py,CWE-311,CWE-285,None,PAIR_FP
gemini-2.5-pro_rag,CWE-338_CWE-343,CWE-338_CWE-343_test.py,CWE-338_CWE-343_patch.py,CWE-338/CWE-343,CWE-338,None,PAIR_TP
gemini-2.5-pro_rag,CWE-400,CWE-400_test.py,CWE-400_patch.py,CWE-400,CWE-770,CWE-400,PAIR_FP
gemini-2.5-pro_rag,CWE-611,CWE-611_test.py,CWE-611_patch.py,CWE-611,CWE-611,CWE-400,PAIR_FP
gemini-2.5-pro_rag,CWE-639,CWE-639_test.py,CWE-639_patch.py,CWE-639,CWE-285,None,PAIR_FP
gemini-2.5-pro_rag,CWE-770,CWE-770_test.py,CWE-770_patch.py,CWE-770,CWE-770,None,PAIR_TP
gemini-2.5-pro_rag,CWE-798,CWE-798_test.py,CWE-798_patch.py,CWE-798,CWE-798,CWE-532,PAIR_FP
gemini-2.5-pro_rag,CWE-915,CWE-915_test.py,CWE-915_patch.py,CWE-915,CWE-285,CWE-285,PAIR_FP
gemini-2.5-pro_rag,CWE-798_CWE-942,"CWE-942,798_test.py","CWE-942,798_patch.py",CWE-942/CWE-798,CWE-798,CWE-285,PAIR_FP
